ExpressionPattern.pattern	ExpressionPattern.primaryIdentifier	ExpressionPattern.remark	ExpressionPattern.reporterGene	ExpressionPattern.subcellularLocalization	ExpressionPattern.anatomyTerms.name	ExpressionPattern.anatomyTerms.synonym	ExpressionPattern.anatomyTerms.definition	ExpressionPattern.anatomyTerms.primaryIdentifier	ExpressionPattern.genes.symbol	ExpressionPattern.genes.primaryIdentifier	ExpressionPattern.genes.organism.species
Expressed in AIY and AIA neurons.	Marker52	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIAL	lineage name: ABplppaappa	Amphid interneuron	WBbt:0003989	sra-11	WBGene00005037	elegans
Expressed in AIY and AIA neurons.	Marker52	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIAR	lineage name: ABprppaappa	Amphid interneuron	WBbt:0003987	sra-11	WBGene00005037	elegans
Expressed in AIY and AIA neurons.	Marker52	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	sra-11	WBGene00005037	elegans
Expressed in AIY and AIA neurons.	Marker52	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	sra-11	WBGene00005037	elegans
Expressed in AIY neurons	Marker51	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	ser-2	WBGene00004777	elegans
Expressed in AIY neurons	Marker51	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	ser-2	WBGene00004777	elegans
Expressed in AIY neurons.	Marker22	Picture: Figure 1E.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	ttx-3	WBGene00006654	elegans
Expressed in AIY neurons.	Marker22	Picture: Figure 1E.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	ttx-3	WBGene00006654	elegans
Expressed in AIY neurons.	Marker53	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	sra-11	WBGene00005037	elegans
Expressed in AIY neurons.	Marker53	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	sra-11	WBGene00005037	elegans
Expressed in AIY neurons.	Marker54	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	sra-11	WBGene00005037	elegans
Expressed in AIY neurons.	Marker54	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	sra-11	WBGene00005037	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	ADFL	lineage name: ABalpppppaa	Amphid neuron, prob. chemosensory	WBbt:0004003	flp-6	WBGene00001449	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	ADFR	lineage name: ABpraaappaa	Amphid neuron, prob. chemosensory	WBbt:0003999	flp-6	WBGene00001449	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	AFDL	lineage name: ABalpppapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003993	flp-6	WBGene00001449	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	AFDR	lineage name: ABpraaaapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003991	flp-6	WBGene00001449	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	flp-6	WBGene00001449	elegans
Expressed in ASE neurons, also expressed in the AFD or ADF neuron classes.	Marker42	Picture: Figure 8A.    Reporter gene fusion type not specified.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	flp-6	WBGene00001449	elegans
Expressed in ASEL and excretory gland.	Marker41	Picture: Figure 2A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	lim-6	WBGene00002988	elegans
Expressed in ASEL and excretory gland.	Marker41	Picture: Figure 2A.	""	""	excretory gland cell	exc gl	gland cell of the secretory-excretory system, sends processes to ring, opens into excretory duct.	WBbt:0005776	lim-6	WBGene00002988	elegans
Expressed in ASEL.	Marker13	Picture: N.A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	gcy-7	WBGene00001534	elegans
Expressed in ASER.	Marker14	Picture: N.A.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	gcy-5	WBGene00001532	elegans
Expressed in AVK neurons.	Marker56	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AVKL	lineage name: ABplpapapap	Ring and ventral cord interneuron.	WBbt:0003845	flp-1	WBGene00001444	elegans
Expressed in AVK neurons.	Marker56	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AVKR	lineage name: ABprpapapap	Ring and ventral cord interneuron.	WBbt:0003844	flp-1	WBGene00001444	elegans
Expressed in AVL neuron.	Marker57	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AVL	lineage name: ABprpappaap	Neuron class of one ring and ventral cord interneuron, few synapses.      	WBbt:0003843	unc-25	WBGene00006762	elegans
Expressed in CEP neurons.	Marker31	Picture: Figure 2B.    Reporter gene fusion type not specified.	""	""	CEPDL	lineage name: ABplaaaaappa	Cephalic neurons, contain dopamine	WBbt:0004938	dat-1	WBGene00000934	elegans
Expressed in CEP neurons.	Marker31	Picture: Figure 2B.    Reporter gene fusion type not specified.	""	""	CEPDR	lineage name: ABarpapaappa	Cephalic neurons, contain dopamine	WBbt:0004937	dat-1	WBGene00000934	elegans
Expressed in CEP neurons.	Marker31	Picture: Figure 2B.    Reporter gene fusion type not specified.	""	""	CEPVL	lineage name: ABplpaappppa	Cephalic neurons, contain dopamine	WBbt:0004933	dat-1	WBGene00000934	elegans
Expressed in CEP neurons.	Marker31	Picture: Figure 2B.    Reporter gene fusion type not specified.	""	""	CEPVR	lineage name: ABprpaappppa	Cephalic neurons, contain dopamine	WBbt:0004931	dat-1	WBGene00000934	elegans
Expressed in CEPsh cells at all developmental stages and in some motoneurons of the ventral cord in larvae.	Marker29	Picture: 1F.	""	""	CEPshDL	lineage name: ABarpaaaapp	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004929	hlh-17	WBGene00001961	elegans
Expressed in CEPsh cells at all developmental stages and in some motoneurons of the ventral cord in larvae.	Marker29	Picture: 1F.	""	""	CEPshDR	lineage name: ABarpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004927	hlh-17	WBGene00001961	elegans
Expressed in CEPsh cells at all developmental stages and in some motoneurons of the ventral cord in larvae.	Marker29	Picture: 1F.	""	""	CEPshVL	lineage name: ABplpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004925	hlh-17	WBGene00001961	elegans
Expressed in CEPsh cells at all developmental stages and in some motoneurons of the ventral cord in larvae.	Marker29	Picture: 1F.	""	""	CEPshVR	lineage name: ABprpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004923	hlh-17	WBGene00001961	elegans
Expressed in CEPsh cells at all developmental stages and in some motoneurons of the ventral cord in larvae.	Marker29	Picture: 1F.	""	""	ventral cord neuron	ventral cord motoneuron	neuron with cell body associated with the ventral nerve cord.	WBbt:0005300	hlh-17	WBGene00001961	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ADEshL	lineage name: ABarppaaaa	Anterior deirid sheath	WBbt:0004005	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ADEshR	lineage name: ABarpppaaa	Anterior deirid sheath	WBbt:0004004	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ADEsoL	lineage name: H2L.aa	Anterior deirid socket, left	WBbt:0005602	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ADEsoR	lineage name: H2R.aa	Anterior deirid socket, right	WBbt:0005603	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	CEPshDL	lineage name: ABarpaaaapp	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004929	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	CEPshDR	lineage name: ABarpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004927	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	CEPshVL	lineage name: ABplpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004925	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	CEPshVR	lineage name: ABprpaaapap	Cephalic sheath, sheet-like processes envelop meuropil of the ring and part of ventral ganglion	WBbt:0004923	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshDL	lineage name: ABalaaaparr	Inner labial sheath	WBbt:0004533	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshDR	lineage name: ABalaaappll	Inner labial sheath	WBbt:0004531	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshL	lineage name: ABalaaaalpp	Inner labial sheath	WBbt:0004529	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshR	lineage name: ABalaapaapp	Inner labial sheath	WBbt:0004527	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshVL	lineage name: ABalppapaap	Inner labial sheath	WBbt:0004525	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILshVR	lineage name: ABarapppaap	Inner labial sheath	WBbt:0004523	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoDL	lineage name: ABplaapaaap	Inner labial socket	WBbt:0004521	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoDR	lineage name: ABpraapaaap	Inner labial socket	WBbt:0004519	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoL	lineage name: ABalaaapall	Inner labial socket	WBbt:0004518	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoR	lineage name: ABalaaapprr	Inner labial socket	WBbt:0004517	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoVL	lineage name: ABalppapapp	Inner labial socket	WBbt:0004503	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	ILsoVR	lineage name: ABarapppapp	Inner labial socket	WBbt:0004501	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLLshL	lineage name: ABalpppaapd	Lateral outer labial sheath	WBbt:0004443	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLLshR	lineage name: ABpraaaaapd	Lateral outer labial sheath	WBbt:0004442	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLLsoL	lineage name: ABalapaaapp	Lateral outer labial socket	WBbt:0004441	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLLsoR	lineage name: ABalappappp	Lateral outer labial socket	WBbt:0004440	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQshDL	lineage name: ABarpaaaapa	Quadrant outer labial sheath	WBbt:0004430	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQshDR	lineage name: ABarpaaapaa	Quadrant outer labial sheath	WBbt:0004429	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQshVL	lineage name: ABalpppaaap	Quadrant outer labial sheath	WBbt:0004428	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQshVR	lineage name: ABpraaaaaap	Quadrant outer labial sheath	WBbt:0004427	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQsoDL	lineage name: ABarpaaaaal	Quadrant outer labial socket	WBbt:0004426	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQsoDR	lineage name: ABarpaaaaar	Quadrant outer labial socket	WBbt:0004425	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQsoVL	lineage name: ABalppaaapp	Quadrant outer labial socket	WBbt:0004424	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	OLQsoVR	lineage name: ABalaappapp	Quadrant outer labial socket	WBbt:0004423	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	PDEshL	lineage name: V5L.papp	Sheath of PDE	WBbt:0004371	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	PDEshR	lineage name: V5R.papp	Sheath of PDE	WBbt:0004370	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	PDEsoL	lineage name: V5L.papa	Socket of PDE	WBbt:0004369	ptr-10	WBGene00004224	elegans
Expressed in CEPsh glia and in sheath and socket glia of inner and outer labial sensilla, and of the deirid.	Marker30	Picture: Fig. 1G, 1H, Fig S1G-L.	""	""	PDEsoR	lineage name: V5R.papa	Socket of PDE	WBbt:0004368	ptr-10	WBGene00004224	elegans
Expressed in GABA motor neurons.	Marker21	Picture: Figure 4D.    Reporter gene fusion type not specified.	""	""	GABAergic neuron	""	neuron that uses GABA as a vesicular neurotransmitter.	WBbt:0005190	unc-47	WBGene00006783	elegans
Expressed in HSN neurons.	Marker79	Picture: Figure 2.    Reporter gene fusion type not specified.	""	""	HSNL	lineage name: ABplapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004758	unc-86	WBGene00006818	elegans
Expressed in HSN neurons.	Marker79	Picture: Figure 2.    Reporter gene fusion type not specified.	""	""	HSNR	lineage name: ABprapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004757	unc-86	WBGene00006818	elegans
Expressed in PDA.	Marker36	Picture: N.A.	""	""	PDA	""	Neuron class of one motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male.      	WBbt:0004386	ace-3	WBGene00000037	elegans
Expressed in PDA.	Marker36	Picture: N.A.	""	""	PDA	""	Neuron class of one motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male.      	WBbt:0004386	ace-4	WBGene00000038	elegans
Expressed in PDA.	Marker37	Picture: N.A.	""	""	PDA	""	Neuron class of one motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male.      	WBbt:0004386	exp-1	WBGene00001373	elegans
Expressed in SMDD neuron.	Marker55	Picture: N.A.    Reporter gene fusion type not specified.	""	""	SMDDL	lineage name: ABplpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004972	trp-1	WBGene00006614	elegans
Expressed in SMDD neuron.	Marker55	Picture: N.A.    Reporter gene fusion type not specified.	""	""	SMDDR	lineage name: ABprpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004971	trp-1	WBGene00006614	elegans
Expressed in all neurons.	Marker39	Picture: N.A.    Reporter gene fusion type not specified.	""	""	neuron	neurone	Major cell type of nervous tissue, specialized for transmission of information in the form of patterns of impulses.	WBbt:0003679	unc-119	WBGene00006843	elegans
Expressed in all neurons.	Marker50	Picture: Fig. 6A.    Reporter gene fusion type not specified.	""	""	neuron	neurone	Major cell type of nervous tissue, specialized for transmission of information in the form of patterns of impulses.	WBbt:0003679	unc-119	WBGene00006843	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIZL	lineage name: ABplapaaapav	Amphid interneuron	WBbt:0003959	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIZR	lineage name: ABprapaaapav	Amphid interneuron	WBbt:0003957	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ASIL	lineage name: ABplaapapppa	one member of amphid neurons, single ciliated ending, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003888	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ASIR	lineage name: ABpraapapppa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003887	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	CANL	lineage name: ABalapaaapa	Process runs along excretory canal, no synapses, essential for survival	WBbt:0004949	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	CANR	lineage name: ABalappappa	Process runs along excretory canal, no synapses, essential for survival	WBbt:0004947	kal-1	WBGene00002181	elegans
